316,190,144,274,188,266,113,199,11,331,188,100,100,38,197,199,105,151,188,232,173,190,58,223,223,38,199,232,190,100,100,188,266,113,199,82,151,223,331,223,199,38,274,223,223,11,188,223,82,197,199,223,266,11,151,33,38,188,190,38,11,188,232,199,190,11,151,100,223,11,223,38,197,199,337,100,33,223,199,38,173,93,199,117,199,38,266,131,274,199,190,11,199,302,33,190,100,337,223,331,11,190,80,190,331,198,199,302,342,305,100,337,223,331,11,190,199					1
120,101,90,43,248,199,188,38,199,100,131,131,173,188,266,113,199,190,199,100,188,11,11,100,223,199,58,223,38,55,131,266,58,223,266,11,199,11,131,58,190,93,66,66,66,256,256,256,199,151,11,11,55,345,110,110,11,66,232,131,110,131,312,144,188,160,93,124,113,259,174					0
335,248,268,73,248,101,259,199,289,199,43,197,253,197,163,199,289,199,18,135,201,173,199,80,331,223,223,199,4,163,305,43,259,76,105,199,105,163,76,4,197,199,173,223,93,232,151,190,188,266,199,331,33,337,337,223,331,199,305,101,46,199,38,11,188,232,173,223,331,199,201,60,312,174,6,312,174,175,174,18,39,174,199,110,199,6,60,190,223,175,290,80,175,199					2
101,188,232,223,199,58,190,93,199,232,151,188,100,100,188,266,113,199,188,266,199,11,151,223,199,55,190,331,173,199,93,223,38,11,223,331,58,190,93,199,331,223,100,188,223,49,223,58,199,198,93,199,198,131,131,58,199,80,131,331,199,190,199,38,151,131,331,11,199,274,151,188,100,223,66,199,302,80,331,188,223,266,58,38,199,302,38,33,198,198,223,331,199,302,131,33,11,38,188,58,223,199,302,58,223,55,331,223,38,38,188,131,266,199					2
335,131,331,58,199,345,199,335,329,175,312,201,199,163,190,331,188,190,11,199,290,66,135,163,199,6,201,201,60,199,163,190,331,188,190,11,199,192,223,190,11,223,58,199,163,223,190,11,151,223,331,199,268,223,190,331,199,105,190,198,223,331,190,199,6,201,201,60,199,80,131,331,58,199,80,199,6,312,201,199,58,188,223,38,223,100,199,135,199,144,199					1
268,259,199,120,253,267,73,76,248,253,248,253,267,268,100,248,43,345,199,335,33,331,188,131,33,38,199,174,199,151,11,11,55,345,110,110,11,66,232,131,110,105,248,4,144,160,80,175,313,100,90					2
120,253,190,11,11,43,198,188,11,151,18,6,175,201,199,120,4,331,131,335,100,131,274,223,331,38,199,259,151,223,199,80,100,131,274,223,331,38,199,100,131,131,173,199,100,188,173,223,199,190,199,58,223,109,223,232,11,223,58,199,160,188,266,113,199,259,331,188,11,190,266,345,199					0
268,259,199,120,4,190,337,100,131,11,151,223,198,190,173,131,345,199,342,4,46,305,259,248,258,101,190,49,93,199,58,188,38,232,190,331,58,223,58,199,188,100,223,113,190,100,199,80,188,38,151,188,266,113,199,190,80,11,223,331,199,337,131,190,331,58,188,266,113,199,232,151,188,266,223,38,223,199,49,223,38,38,223,100,38,199,188,266,199,302,105,151,188,100,223,72,38,199,248,144,232,100,199,248,232,131,266,199,12,131,266,223,199,151,11,11,199					0
305,331,58,223,266,199,346,199,316,131,198,223,266,38,199,346,100,33,223,199,43,131,100,188,58,199,46,331,223,38,38,199,43,29,199,253,199,253,223,58,188,33,198,199,43,151,131,331,11,199,43,100,223,223,49,223,199,253,131,58,190,100,199,346,100,223,266,58,199,305,337,131,49,223,199,160,266,223,223,199,151,11,11,55,345,110,110,11,66,232,131,110,151,192,337,58,174,248,266,38,248,190,199,151,11,11,55,345,110,110,11,66,232,131,110,39,46,331,312,60,49,131,46,268,4					2
268,259,199,120,58,190,113,11,131,11,58,190,113,345,199,46,223,199,223,223,331,38,11,223,199,173,188,100,131,198,223,11,223,331,38,199,188,266,199,131,55,223,266,199,274,190,11,223,331,199,198,223,11,199,120,160,131,173,173,188,223,174,201,199,120,290,175,38,109,190,190,173,199,120,43,274,188,198,11,131,335,105,201,174,60,199					2
46,73,335,199,46,188,190,266,223,199,49,131,266,199,335,33,331,38,11,223,266,337,223,331,113,199,101,190,55,100,223,38,199,305,266,173,100,223,199,43,131,80,11,199,105,190,266,49,190,38,199,346,100,131,38,38,131,198,199,346,100,190,232,173,199,259,33,144,223,58,131,199,4,190,266,11,38,199,135,199					2
268,259,199,120,43,188,198,55,38,131,266,38,313,267,259,46,345,199,82,267,151,197,199,58,131,266,72,11,199,93,131,33,199,274,131,331,331,93,197,199,198,131,38,11,199,131,80,199,93,131,33,199,274,188,100,100,199,266,223,49,223,331,199,80,190,100,100,199,188,266,199,100,131,49,223,199,190,266,58,199,198,190,331,331,93,199,131,33,11,199,131,80,199,80,223,190,331,199,131,80,199,58,93,188,266,113,199,190,100,131,266,223,66,82,199					0
268,259,199,120,163,248,335,163,305,192,2,160,267,76,12,342,253,76,345,199,46,188,29,29,93,199,43,33,266,80,188,38,11,321,288,121,164,111,283,269,106,256,256,42,42,227,158,256,256,235,43,46,268,163,76,73,248,27,256,256,199,302,163,248,335,163,305,192,199,302,347,330,199,302,341,330,199,302,326,199,302,199,302,199,151,11,11,55,345,110,110,11,66,232,131,110,335,267,223,268,175,144,105,267,18,201					2
124,33,38,11,199,190,266,199,188,266,11,223,266,38,223,199,113,190,198,223,199,131,80,199,11,188,232,199,11,190,232,199,11,131,223,256,256,199,302,11,188,266,58,223,331,55,331,131,337,100,223,198,38,199,120,259,188,266,58,331,4,331,131,337,38,199,151,11,11,55,345,110,110,11,66,232,131,110,39,29,305,232,55,266,312,223,12,6					2
268,259,199,120,43,190,49,190,113,223,267,266,76,93,345,199,163,131,131,173,199,151,131,274,199,232,33,11,223,199,11,151,188,38,199,232,151,188,232,173,223,266,199,188,38,199,256,256,199					2
163,267,267,160,199,305,259,199,259,192,248,43,248,199,43,259,342,101,101,76,101,314,199,4,192,267,259,267,43,199,267,335,199,305,199,46,248,43,248,268,259,248,46,199,101,90,105,199,76,101,199,259,192,248,66,66,66,199,151,11,11,55,38,345,110,110,11,66,232,131,110,12,163,29,248,46,314,314,335,268,46,199					0
268,259,199,120,346,190,337,93,305,266,188,198,190,100,4,188,232,38,345,199,190,199,198,190,266,199,11,131,131,173,199,232,190,331,223,199,131,80,199,190,199,232,190,11,199,11,151,190,11,199,274,190,38,199,55,190,331,190,100,93,29,223,58,199,190,80,11,223,331,199,337,223,188,266,113,199,151,188,11,199,337,93,199,151,33,198,190,266,199					2
